product_res_number,event_date_initiated,event_date_posted,recall_status,product_code,root_cause_description,reason_for_recall,product_description,recalling_firm,distribution_pattern,action
Z-1472-2008,2008-02-21,2008-09-23,Terminated,CGA,Component design/selection,Lithium batteries may fail if the glucose or creatinine meters have been dropped.,"Varta Easypack XL Lithium Polymer Batteries (P/N 41772 and 42215)
Used with:
Nova Biomedical StatStrip  Glucose Hospital Meter (P/N 42224) and Nova Biomedical StatSensor Creatinine Hospital Meter and  EZ CHEM Creatinine Meter (P/N 9600).   Statstrip Meter an In vitro diagnostic for use by health care professionals in the quantitative determination of glucose (GLU) in whole blood.  EZ Chem In vitro diagnostic for the quantitative measurement of creatinine in capillary, venous or arterial blood.",Nova Biomedical Corporation,"Worldwide Distribution --- including USA and countries of Canada, Taiwan, Hungary, Malaysia, Australia, Russia, Thailand, New Zealand, Austria, France, Germany, UK, China, South Africa, Croatian, Peru, and Czech Republic.","Nova Biomedical notified consignees by telephone and followed by the Recall Notification letter for the Vata Easy Pack XL Lithium Polymer Battery, dated 2/2108 and mailed 2/26/08.  Users are notified of the problem with the battery in the Nova Stat Strip Blood Glucose Hospital Meter System and is replacing batteries by on site visit.
E-Z-EM , Inc. notified their customers by letter dated 3/17/08.   Contact Nova Biomedical Corporation at 1-800-545-6682 for assistance."
Z-0724-2008,2007-11-02,2008-02-16,Terminated,CGL,Device Design,Incorrect Results - Creatinine results were lower than the laboratory reference method.,"Nova - EZ CHEM Creatinine Meter: SRS Versions 5.1 and 5.2
P/N 9600, Nova Biomedical, Waltham, MA  02454",Nova Biomedical Corporation,"Nationwide Distribution, including the state of NY","Nova Biomedical issued an Urgent: Medical Device Recall notification letter to consignees dated November 19, 2007. The letter addressed the issues with the product(s) and requested that if users had any remaining stock that it must be returned.  The firm also provided a Customer Response form to be returned.  Questions concerning this recall will be addressed by Gina Vogelsberg at 1-800-544-4624 or by email at gvogelsberg@ezem.com."
Z-0725-2008,2007-11-02,2008-02-16,Terminated,CGL,Device Design,Incorrect Results - Creatinine results were lower than the laboratory reference method.,"Nova - EZ CHEM Control Solution P/N 9612, Nova Biomedical, Waltham, MA  02454",Nova Biomedical Corporation,"Nationwide Distribution, including the state of NY","Nova Biomedical issued an Urgent: Medical Device Recall notification letter to consignees dated November 19, 2007. The letter addressed the issues with the product(s) and requested that if users had any remaining stock that it must be returned.  The firm also provided a Customer Response form to be returned.  Questions concerning this recall will be addressed by Gina Vogelsberg at 1-800-544-4624 or by email at gvogelsberg@ezem.com."
Z-0726-2008,2007-11-02,2008-02-16,Terminated,CGL,Device Design,Incorrect Results - Creatinine results were lower than the laboratory reference method.,"Nova - EZ CHEM Linearity Solution P/N 9618, Nova Biomedical, Waltham, MA  02454",Nova Biomedical Corporation,"Nationwide Distribution, including the state of NY","Nova Biomedical issued an Urgent: Medical Device Recall notification letter to consignees dated November 19, 2007. The letter addressed the issues with the product(s) and requested that if users had any remaining stock that it must be returned.  The firm also provided a Customer Response form to be returned.  Questions concerning this recall will be addressed by Gina Vogelsberg at 1-800-544-4624 or by email at gvogelsberg@ezem.com."
Z-0295-2008,2007-09-17,2008-01-17,Terminated,JBS,Device Design,Elevated Normalized Ionized Calcium (nCa) and Normalized Ionized Magnesium (nMg) calculated values on patient samples,"Nova 8 Analyzer Calibrator Pack (Catalog/REF # 15196), Nova Biomedical, Waltham, MA",Nova Biomedical Corporation,"Worldwide, USA, Canada, Argentina, Bangladesh, Bolivia, China, Czech Republic, Denmark, Ecuador, Egypt, Finland, France,Germany,Greece, Hungary, India, Indonesia, Ireland,Italy, Japan, Korea, Mexico, Peru, Poland, Scotland, South Africa, Spain, Sri Lanka. Switzerland, Syria ,Taiwan, Turkey and The United Kingdom","Nova issued a Customer Advisory Notice notification by phone
on 9/17/07  to contact customers using a script .  If the facility reports Normalized Ionized Calcium or Normalized Ionized Magnesium, Nova Biomedical will replace existing stock of Nova 8 calibrator packs. If the facility does not report Normalized Ionized Calcium or Normalized
Ionized Magnesium, the account can continue to use the existing lot of calibrator packs.This contact will be documented within the Nova Biomedical complaint database. Intemational Customer Advisory Notice being sent to Nova Biomedical Subsidiariies and Distributors by Federal Express Envelope.The Federal Express envelopes tracking number will be used for delivery confirmation."
Z-0576-06,2006-01-27,2006-02-28,Terminated,CHL,Other,Analyzers may fail to perform scheduled automatic two-point calibrations and Quality Control runs,"Stat Profile Critical Care (CCX) Analyzer 
Catalog Number: 35942",Nova Biomedical Corporation,"Nationwide
Foreign: Canada, UAE, Taiwan, Singapore, Budapest, UK, France, Malaysia, France, Mexico, Korea, Finland, Germany, Turkey, Ireland, Italy, Austria, Australia, Netherlands, Venezuela, Japan, Greece, Thailand, Israel, Spain, China, Hong Kong, Argentina, Czech Republic, Croatia,Trinidad WI",Nova Biomedical Issued on 1/27/2006 an Advisory Notice to Stat Profile CCX Customers to report the malfunction and request the Good Laboratory Practices (GLP) be used and review be made to assure the calibration status and QC is being performed. A new software version is scheduled to be released to correct the error.
Z-0577-06,2006-01-27,2006-02-28,Terminated,CHL,Other,Analyzers may fail to perform scheduled automatic two-point calibrations and Quality Control runs,"Stat Profile Critical Care PLUS  (CCX) Analyzer 
Catalog Number: 37413",Nova Biomedical Corporation,"Nationwide
Foreign: Canada, UAE, Taiwan, Singapore, Budapest, UK, France, Malaysia, France, Mexico, Korea, Finland, Germany, Turkey, Ireland, Italy, Austria, Australia, Netherlands, Venezuela, Japan, Greece, Thailand, Israel, Spain, China, Hong Kong, Argentina, Czech Republic, Croatia,Trinidad WI",Nova Biomedical Issued on 1/27/2006 an Advisory Notice to Stat Profile CCX Customers to report the malfunction and request the Good Laboratory Practices (GLP) be used and review be made to assure the calibration status and QC is being performed. A new software version is scheduled to be released to correct the error.
Z-0578-06,2006-01-27,2006-02-28,Terminated,CHL,Other,Analyzers may fail to perform scheduled automatic two-point calibrations and Quality Control runs,"CCX Operating Software , Version 4.08",Nova Biomedical Corporation,"Nationwide
Foreign: Canada, UAE, Taiwan, Singapore, Budapest, UK, France, Malaysia, France, Mexico, Korea, Finland, Germany, Turkey, Ireland, Italy, Austria, Australia, Netherlands, Venezuela, Japan, Greece, Thailand, Israel, Spain, China, Hong Kong, Argentina, Czech Republic, Croatia,Trinidad WI",Nova Biomedical Issued on 1/27/2006 an Advisory Notice to Stat Profile CCX Customers to report the malfunction and request the Good Laboratory Practices (GLP) be used and review be made to assure the calibration status and QC is being performed. A new software version is scheduled to be released to correct the error.
Z-0826-04,2004-03-30,2004-07-20,Terminated,CHL,Other,Incorrectly assembled pumps  may result in  inconsistent compression of the tubing causing erratic results or calibration problems,"Stat Profile Critical Care Xpress (CCX) Analyzer
Catalog Number: 35942",Nova Biomedical Corporation,"CA, IL, LA, MA ,NJ,  NY, OH, PA, TX
International: Italy ,England, Japan,Turkey., U.A.E., Greece, Thailand, Switzerland, Finland, Saudi Arabia, Italy, Mexico, Trinidad, Ireland, France, Cyprus, Czech Republic, ,Germany",Nova Biomedical notified users by telephone on 3/31/04 and conducted follow-up by letter either by email or fax. On-site visit will be scheduled to replace the pump assembly.
Z-0827-04,2004-03-30,2004-07-20,Terminated,CHL,Other,Incorrectly assembled pumps  may result in  inconsistent compression of the tubing causing erratic results or calibration problems,"Stat Profile Critical Care Xpress CCX+ Analyzer
Catalog Number: 37413",Nova Biomedical Corporation,"CA, IL, LA, MA ,NJ,  NY, OH, PA, TX
International: Italy ,England, Japan,Turkey., U.A.E., Greece, Thailand, Switzerland, Finland, Saudi Arabia, Italy, Mexico, Trinidad, Ireland, France, Cyprus, Czech Republic, ,Germany",Nova Biomedical notified users by telephone on 3/31/04 and conducted follow-up by letter either by email or fax. On-site visit will be scheduled to replace the pump assembly.
Z-0828-04,2004-03-30,2004-07-20,Terminated,CHL,Other,Incorrectly assembled pumps  may result in  inconsistent compression of the tubing causing erratic results or calibration problems,"Stat Profile Critical Care Xpress CCX (R)  Analyzer
Catalog Number: 37562
R= Refurbished",Nova Biomedical Corporation,"CA, IL, LA, MA ,NJ,  NY, OH, PA, TX
International: Italy ,England, Japan,Turkey., U.A.E., Greece, Thailand, Switzerland, Finland, Saudi Arabia, Italy, Mexico, Trinidad, Ireland, France, Cyprus, Czech Republic, ,Germany",Nova Biomedical notified users by telephone on 3/31/04 and conducted follow-up by letter either by email or fax. On-site visit will be scheduled to replace the pump assembly.
Z-0829-04,2004-03-30,2004-07-20,Terminated,CHL,Other,Incorrectly assembled pumps  may result in  inconsistent compression of the tubing causing erratic results or calibration problems,"Stat Profile Critical Care Xpress CCX+ (R) Anaylzer
Catalog NUmber: 37555
R= Refurbished",Nova Biomedical Corporation,"CA, IL, LA, MA ,NJ,  NY, OH, PA, TX
International: Italy ,England, Japan,Turkey., U.A.E., Greece, Thailand, Switzerland, Finland, Saudi Arabia, Italy, Mexico, Trinidad, Ireland, France, Cyprus, Czech Republic, ,Germany",Nova Biomedical notified users by telephone on 3/31/04 and conducted follow-up by letter either by email or fax. On-site visit will be scheduled to replace the pump assembly.
Z-0830-04,2004-03-30,2004-07-20,Terminated,CHL,Other,Incorrectly assembled pumps  may result in  inconsistent compression of the tubing causing erratic results or calibration problems,"ABG Replacement Pump Assembly
Catalog Number: 37092",Nova Biomedical Corporation,"CA, IL, LA, MA ,NJ,  NY, OH, PA, TX
International: Italy ,England, Japan,Turkey., U.A.E., Greece, Thailand, Switzerland, Finland, Saudi Arabia, Italy, Mexico, Trinidad, Ireland, France, Cyprus, Czech Republic, ,Germany",Nova Biomedical notified users by telephone on 3/31/04 and conducted follow-up by letter either by email or fax. On-site visit will be scheduled to replace the pump assembly.
Z-0060-04,2003-09-22,2003-10-24,Terminated,CHL,Other,Degradation of the magnesium sensor could result in low ionozed magnesium patient samples,"Stat Profile Ultra Magnesium Sensor (In-vitro Diagnostic used with the Stat Profile Ultra M analyzer)
Part # 20394",Nova Biomedical Corporation,"Natinwide
Foreign: Italy, Czech, Japan, Taiwan, Hungary, India,  Israel, Mexico, Canada, Germany,Switzerland, Tunisia, Korea, Brazil, Greece, Coatia, China, France, Turkey, Thailand, Argentina.
Government: VA Decator, GA",Nova Biomedical contacted customers by telephone beginning on  9/26/03. Each account was faxed or mailed Customer Information Bulletin requesting the discard of Mg++ sensors in inventory  that are greater than 4 months old from date of manufacture. Replacement product will be issued.
Z-0061-04,2003-09-22,2003-10-24,Terminated,CHL,Other,Degradation of the magnesium sensor could result in low ionozed magnesium patient samples,"Stat Profile Critical Care Expres Ionized Magnesium Sensor (In-vitro Diagnostic used with the Stat Profile Critical Care Xpress Analyzer)
Part # 37271",Nova Biomedical Corporation,"Natinwide
Foreign: Italy, Czech, Japan, Taiwan, Hungary, India,  Israel, Mexico, Canada, Germany,Switzerland, Tunisia, Korea, Brazil, Greece, Coatia, China, France, Turkey, Thailand, Argentina.
Government: VA Decator, GA",Nova Biomedical contacted customers by telephone beginning on  9/26/03. Each account was faxed or mailed Customer Information Bulletin requesting the discard of Mg++ sensors in inventory  that are greater than 4 months old from date of manufacture. Replacement product will be issued.
