report_number,date_received,event_type,brand,generic,model,problem,narrative
3004193489-2015-00036,20150408,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings; High Test Results","THE CONSUMER CALLED INTO CUSTOMER CARE CONCERNED ABOUT ""... A HIGH BLOOD GLUCOSE READING TODAY..."" IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A BLOOD GLUCOSE RESULT OF 418 MG/DL. EVEN THOUGH THE CONSUMER DID NOT BELIEVE THIS RESULT TO BE ACCURATE, SHE ADMINISTERED AN ADDITIONAL 10 UNITS OF INSULIN BASED ON THE REPORTED RESULT OF 418 MG/DL. | TEST STRIP LOT #10202140287; EXPIRATION DATE: 10/2016; CONTROL SOLUTION LOT NUMBER NONE; NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2015-00034,20150408,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings; High Test Results","ACCORDING TO THE EMAIL RECEIVED FROM (B)(6), ""PATIENT REPORTED THAT ON (B)(6) 2015, HER GLUCOMETER GAVE HER A READING OF 590 MG/DL. SHE WAS HAVING GI ISSUES AND POSSIBLY THOUGHT THAT IT COULD BE ASSOCIATED WITH HER BLOOD SUGAR RESULT. SHE THEN PROCEEDED TO GO TO HER LOCAL ER BECAUSE SHE AS CONCERNED. IN THE ER THEY VERIFIED THAT HER GLUCOMETER WAS NOT ACCURATE AND SHE GOT A RESULT OF 117 MG/DL. SHE STATED SHE GOT SCARED AND BECAME ANXIOUS DUE TO THIS HIGH READING AND SPENT 5 HRS IN THE ""ER"". | A COMPREHENSIVE REVIEW OF THE DHR FOR LOT#1020814091 SUPPORTS THE LOT MET ALL SPECS UPON RELEASE INTO DISTRIBUTION."
3004193489-2015-00035,20150408,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,False Reading From Device Non-Compliance,"TEST STRIP LOT #1020214027; EXPIRATION DATE: 1/2016; CONTROL SOLUTION LOT #1030514339; RANGE 82-127 MG/DL; NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | ON (B)(6) 2015, NOVA BIOMEDICAL RECEIVED THE FOLLOWING EMAIL FROM THE CONSUMER. ""..I HAVE A NOVA MAX PLUS THAT IS GIVING ME SOME ISSUES, ONE READING WILL BE 22 BUT THIRTY SECONDS LATER IT WILL BE 97 ON THE SAME SAMPLE SITE. IT ALSO DOES THIS WITH KETONES WE'LL GE A .8 READING THEN WHEN WE RETEST IT WILL SAY LO JUST A FEW SECONDS LATER. IT HAS BEEN DOING THIS FOR A FEW WEEKS DO I NEED A NEW METER OR IS IT THE TEST STRIPS I CHECK AGAINST THE RECALL AND NONE OF MY NUMBERS WERE ON THERE. PLEASE HELP MY (B)(6) YR OLD HAS GSD 9 AND MONITORING IS VERY IMPORTANT TO BE ABLE TO DOES HIS MEDS. ANY HELP WOULD BE GREATLY APPRECIATED..."" ON (B)(6) 2015, A FOLLOW UP PHONE CALL WAS MADE TO THE CONSUMER'S PARENT, HOWEVER, SHE WAS IN THE CAR AND WAS UNABLE TO PROVIDE ANY INFORMATION. ON (B)(6) 2015, ANOTHER FOLLOW-UP CALL WAS MADE TO THE CONSUMER'S PARENT, AND SHE WAS ABLE TO PROVIDE METER AND TEST STRIP "
3004193489-2015-00033,20150403,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Improper or Incorrect Procedure or Method,"THE CONSUMER CALLED INTO CUSTOMER SUPPORT BECAUSE OF HER HIGHER THAN EXPECTED BLOOD GLUCOSE RESULTS. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER PERFORMED TWO BACK TO BACK BLOOD GLUCOSE TESTS AFTER EATING HER BREAKFAST OF OATMEAL. THE RECEIVED A RESULT OF 'HI' (GREATER THAN 600 MG/DL) ON HER BLOOD GLUCOSE METER, SHE IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS, THE CONSUMER WENT TO HER CLINIC BECAUSE SHE DID NOT BELIEVE THE REPORTED RESULTS TO BE ACCURATE. BASED ON THE BLOOD GLUCOSE RESULTS, THE CONSUMER WENT TO HER CLINIC BECAUSE SHE DID NOT BELIEVE THE REPORTED RESULTS TO BE ACCURATE. THE CLINIC PERFORMED BACK TO BACK TESTS USING THEIR UNKNOWN BRAND METER GETTING AN 84 MG/DL AND 78 MG/DL. DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT PERFORM A CONTROL SOLUTION TEST FOR INTEGRI | THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. TST STRIP # 1020814091, EXPIRATION DATE: 04/2016, CONTROL SOLUTION LOT# NONE, PER LABEL COPY / PACKAGE INSERT. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE TEST STRIPS ARE WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS. NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS"
3004193489-2015-00031,20150403,Malfunction,NOVA MAX BLOOD GLUCOSE MONITOR,GLUCOSE MONITOR,,"Incorrect, Inadequate or Imprecise Result or Readings; Improper or Incorrect Procedure or Method","A CONSUMER CALLED INTO CUSTOMER SUPPORT BECAUSE SHE WAS CONCERNED ABOUT THE DISCREPANCY IN HER BLOOD GLUCOSE RESULTS. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 73 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS OF 154 MG/DL. DURING THE FIRST CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. | TEST STRIP LOT # 1020214204, EXPIRATION DATE: 07/2016, CONTROL SOLUTION LOT # 1030514339, RANGE: 82-127 MG/DL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOUR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED."
3004193489-2015-00032,20150403,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,False Reading From Device Non-Compliance; Incorrect Or Inadequate Test Results,"A CONSUMER CALLED INTO CUSTOMER SUPPORT BECAUSE SHE RECEIVED READINGS SUNDAY MORNING AND SHE FELT THEY WERE TOO FAR APART. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 81 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULT OF 34 MG/DL. | DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT PERFORM A CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. TEST STRIP LOT # 1030514399, RANGE: 82-127 MG/DL."
3004193489-2015-00030,20150403,Malfunction,NOVA MAX BLOOD GLUCOSE MONITOR,GLUCOSE MONITOR,,Incorrect Or Inadequate Test Results,"TEST STRIP LOT# 1020214027, EXPIRATION DATE: 01/2016, CONTROL SOLUTION LOT# 1030514339, RANGE: 82-127 MG/DL. THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVALUATION. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THAT INVESTIGATION, A FOLLOW-UP REPORT WILL BE FILED. | THE CONSUMER CALLED INTO CUSTOMER SUPPORT BECAUSE SHE RECEIVED THREE (3) READINGS THIS MORNING THAT SHE FELT WERE INACCURATE BECAUSE THEY WERE TOO FAR APART. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 70 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS OF 162 MG/DL AND 149 MG/DL."
3004193489-2015-00029,20150403,Malfunction,NOVA MAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,Adverse Event Without Identified Device or Use Problem,"THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT HER CONCERNS ABOUT LOW BLOOD GLUCOSE READS SHE GOT TODAY. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 34 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULT OF 62 MG/DL. | TEST STRIP LOT# 1020214203, EXPIRATION DATE: 07/2016, CONTROL SOLUTION LOT# 1030214093, RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE TEST STRIPS ARE WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS."
3004193489-2015-00028,20150403,Malfunction,NOVA MAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","TEST STRIP LOT # 1020214204, EXPIRATION DATE: 07/2016, CONTROL SOLUTION LOT# 1030713254, RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE AND THE NOVA MAX GLUCOSE TEST STRIPS AER WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS. | THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT HER CONCERN ABOUT DIFFERENT READINGS SHE GOT WITH HER NOVA MAX LINK METER. IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF ""LO"" (LESS THAN 20 MG/DL) ON HER BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULT OF 151 MG/DL. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH THE CONSUMER SHOWING THE TEST STRIPS TO FALL IN RANGE. THE CONSUMER PERFORMED BACK TO BACK BLOOD GLUCOSE RESULTS WHICH WERE WITHIN RANGE."
MW5041887,20150401,Injury,NOVA MAX,GLUCOMETER,NOVA MAX METER,High Test Results,PT CAME TO OUTPATIENT PHARMACY AND ASKED TO SPEAK WITH A PHARMACIST REGARDING HIS METER AND THE HIGH READINGS THAT HE HAS BEEN EXPERIENCING WITH THE METER. THE PHARMACIST CALLED NOVA MAX COMPANY AND WENT THROUGH THE TROUBLE SHOOTING STEPS WITH THE NOVA MAX REP WHO THEN INFORMED THE PT THAT THEY WILL BE RECEIVING A NEW METER IN 2 DAYS AND THAT THE PT COMPANY WILL BE INFORMED WHEN HE RECEIVES HE NEW ONE.
3004193489-2015-00025,20150323,Other,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,,Maintenance Does Not Comply To Manufacturers Recommendations,"THE METER AND TEST STRIPS WILL BE RETURNED FOR EVALUATION. TEST STRIP LOT# 1020214287 EXPIRATION DATE: 10/2016. CONTROL SOLUTION LOT# 1030514339 RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT-QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE TEST STRIPS ARE WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS. NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR EVAL. SHOULD ANY SIGNIFICANT FINDINGS BE A RESULT OF THE INVESTIGATION, A F/U REPORT WILL BE FILED. | THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT THAT ""...SHE FELT HER BLOOD GLUCOSE READINGS WERE TOO HIGH..."" CONSUMER REPORTED THAT AS A RESULT OF THE READINGS SHE WENT TO A CLINIC TO HAVE THEM CHECK HER BLOOD GLUCOSE LEVEL. DURING THE FIRST CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE."
3004193489-2015-00026,20150323,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT THAT ""...SHE RECEIVED 3 BLOOD GLUCOSE READINGS THIS MORNING THAT WERE TOO FAR APART..."". IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 279 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS OF 102 MG/DL AND 119 MG/DL. | B5: DURING THE FIRST CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. B6: A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING IN THE F/U CALL WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE CONSUMER ALSO PERFORMED TWO BACK TO BACK BLOOD GLUCOSE TESTS WHICH WERE WITHIN VARIANCE. THE METER AND TEST STRIPS RETURNED 03/13/2015 AND THE EVALUATION IS IN PROCESS. THE CONSUMER ALSO RETURNED AN ADDITIONAL LOT OF TEST STRIPS #: 1020213252. CONSUMER CONFIRMED NO ISSUE WITH THIS LOT, RETURNED THEM IN ERROR. TEST STRIP LOT#: 1020214203 EXPIRATION DATE: 07/2016. CONTROL SOLUTION LOT#: 1030514339 RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT-QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A "
3004193489-2015-00027,20150323,Malfunction,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT THAT ""...HE WAS CONCERNED ABOUT THE DISCREPANCY IN HIS BLOOD GLUCOSE RESULTS..."" IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 83 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS GETTING THE FOLLOWING RESULT OF 91 MG/DL. THE CONSUMER REPORTED THAT HE ""ATE SOMETHING BECAUSE HE WAS FEELING SHAKY"". | SUBSEQUENT ATTEMPTS TO F/U WITH THIS CONSUMER IDENTIFIED A USE OF AN ADDITIONAL GLUCOSE LOT#: 1020214287, CONTROL SOLUTION TESTING WAS PERFORMED - RESULTS OBTAINED WITHIN RANGE WHICH FURTHER SUPPORTS THE NOVA MAX PLUS BLOOD GLUCOSE SYSTEM TO BE PERFORMING AS INTENDED. DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER CONTROL TESTED THEIR TEST STRIPS WHEN THEY WERE OPENED AND THE TEST STRIPS CONTROL SOLUTION FELL INTO RANGE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING IN THE F/U CALL WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. CONSUMER REFUSED TO PERFORM ANY ADDITIONAL TESTING. THE CONSUMER REFUSES TO RETURN THE METER FOR EVALUATION BECAUSE, ""ALL HIS HISTORY IS INSIDE THE METER"". TEST STRIP LOT#: 1020214204, EXPIRES 07/2016. CONTROL SOLUTION LOT#: 1030514339, RANGE; 82-127 MG/DL. NOVA MAX TEST STRIP INSERT-QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOL"
MW5041459,20150310,Injury,STATSTRIP GLUCOSE METER,STATSTRIP GLUCOSE METER,STATSTRIP,Device Dislodged or Dislocated; Material Deformation,"USER NOTICED BATTERY COVER ON NOVA BIOMEDICAL CORPORATION, STATSTRIP BLOOD GLUCOSE METER WAS NOT SEATED CORRECTLY. USER REMOVED BATTERY COVER AND DISCOVERED THE BATTERY PACK HAD CONSIDERABLE SWELLING."
3004193489-2015-00021,20150303,Other,NOVA MAX PLUS GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","DURING TROUBLESHOOTING, IT WAS REVEALED THAT THE CONSUMER TRANSFERS TEST STRIPS FROM ONE VIAL TO ANOTHER, WHICH MAY CONTRIBUTE TO THE LOSS OF INTEGRITY OF THE TEST STRIPS. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. DURING THE FIRST CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING IN THE FOLLOW-UP CALL WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE METER AND TEST STRIPS WILL NOT BE RETURNED FOR EVAL. TEST STRIPS LOT # 1020214149, EXPIRATION DATE: 5/2016; CONTROL SOLUTION LOT # 1030514339, RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT: STORAGE AND HANDLING TEST STRIPS SHOULD BE STORED ONLY IN THE ORIGINAL VIAL. NOVA BIOMEDICAL AWAITS  | CONSUMER CALLED INTO CUSTOMER CARE REPORTING, ""HER BLOOD GLUCOSE READINGS ON (B)(6) 2015 WERE TOO FAR APART."" IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 37 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULT OF 96 MG/DL."
3004193489-2015-00024,20150303,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","A CONSUMER CALLED INTO CUSTOMER CARE TO EXPRESS HIS CONCERNS""... ABOUT HIS LOW BLOOD GLUCOSE READINGS SEVERAL DAYS AGO..."" IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 38 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULT OF 75 MG/DL. | THE CONSUMER ALLEGES A CONTROL SOLUTION TEST WAS PERFORMED AS INSTRUCTED IN THE DIRECTIONS FOR USE, HOWEVER, CANNOT RECALL IF THE RESULT WAS IN OR OUT OF RANGE. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. THE METER AND TEST WILL BE RETURNED FOR EVAL. TEST STRIP LOT #: 1020214204. EXPIRATION DATE: JUNE 2016. CONTROL SOLUTION LOT #: 1030113176 RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE TEST STRIPS ARE WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS. NOVA BIOMEDICAL AWAITS THE RETURN OF"
3004193489-2015-00020,20150303,Malfunction,NOVAMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","THE CONSUMER CALLED INTO CUSTOMER SUPPORT TO REPORT""... HIS LOW BLOOD GLUCOSE RESULTS..."". IT WAS REPORTED TO NOVA BIOMEDICAL THAT A CONSUMER RECEIVED A RESULT OF 26 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED ANOTHER TEST USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS OF 100 MG/DL. | DURING THE CALL TO CUSTOMER SUPPORT, IT WAS REVEALED THAT THE CONSUMER DID NOT CONTROL SOLUTION TEST FOR INTEGRITY BEFORE USE THEIR INITIAL TEST STRIPS AS INSTRUCTED IN OUR DIRECTIONS FOR USE. THE DIFFERENCE IN THE CONSUMER'S READINGS IN THE FIRST CALL WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. A CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING WITH CUSTOMER SUPPORT SHOWING THE TEST STRIPS TO FALL IN RANGE. WHILE ON THE LINE TWO BACK TO BACK BLOOD GLUCOSE TESTS WERE PERFORMED AND THE RESULTS WERE WITHIN VARIANCE. THE METER IN QUESTION WILL BE RETURNED FOR EVAL. TEST STRIP LOT #: 1020214149. EXPIRATION DATE: MAY 2016. CONTROL SOLUTION LOT #: 1030214093 RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NO"
3004193489-2015-00019,20150303,Malfunction,NOVOMAX LINK GLUCOSE MONITOR,GLUCOSE MONITOR,NA,"Incorrect, Inadequate or Imprecise Result or Readings","DURING THE CALL TO CUSTOMER SUPPORT, THE CONSUMER CONTROL TESTED THEIR TEST STRIPS WHEN THEY WERE OPENED AND THE TEST STRIPS CONTROL SOLUTION FELL INTO RANGE. THE DIFFERENCE IN THE CONSUMER'S READINGS WAS DETERMINED TO BE CLINICALLY SIGNIFICANT. ANOTHER CONTROL SOLUTION TEST WAS PERFORMED WHILE TROUBLESHOOTING SHOWING THE TEST STRIPS TO FALL IN RANGE. THE METER IN QUESTION WILL BE RETURNED FOR EVAL. TEST STRIP LOT #: 1020214204. EXPIRATION DATE: JULY 2016. CONTROL SOLUTION LOT #: 1030214093 RANGE: 82-127 MG/DL. NOVA MAX TEST STRIP INSERT - QUALITY CONTROL CHECKING THE SYSTEM CONTROL SOLUTION TEST: THE NOVA MAX CONTROL SOLUTION IS USED AS A QUALITY CONTROL CHECK TO MAKE SURE THAT YOUR BLOOD GLUCOSE MONITOR AND THE NOVA MAX GLUCOSE TEST STRIPS ARE WORKING CORRECTLY. DO A CONTROL SOLUTION TEST: EACH TIME YOU OPEN A NEW VIAL OF TEST STRIPS. NOVA BIOMEDICAL AWAITS THE RETURN OF THE DEVICE FOR | CONSUMER CALLED INTO CUSTOMER CARE CONCERNED ABOUT""...INCONSISTENT BLOOD GLUCOSE READINGS..."". IT WAS REPORTED TO NOVA BIOMEDICAL THAT THE CONSUMER RECEIVED A RESULT OF 55 MG/DL ON THEIR BLOOD GLUCOSE METER. THE CONSUMER IMMEDIATELY PERFORMED TWO ADDITIONAL TESTS USING THE SAME METER AND STRIPS FROM THE SAME VIAL GETTING THE FOLLOWING RESULTS OF 119 MG/DL AND 136 MG/DL."
